file_off	va	string
0x7701	0x3F407701	espressif
0x78CD	0x3F4078CD	esp_netif_config_sanity_check(esp_netif)
0x7B87	0x3F407B87	esp_netif_start_api
0x7B9B	0x3F407B9B	esp_netif_new
0x7BBB	0x3F407BBB	@sys_evt
0x7D1F	0x3F407D1F	event_loop
0x7D77	0x3F407D77	event_handler
0x7DF7	0x3F407DF7	handler_ctx
0x7E4C	0x3F407E4C	esp_event_post_to
0x7E5E	0x3F407E5E	esp_event_handler_unregister_with_internal
0x7E89	0x3F407E89	esp_event_handler_register_with_internal
0x7EB2	0x3F407EB2	esp_event_loop_run
0x7EC5	0x3F407EC5	event_send
0x7FA7	0x3F407FA7	@EAP deinit
0x7FB3	0x3F407FB3	Pairwise key expansion
0x7FCA	0x3F407FCA	(size_t) (pos - rsn_ie) <= rsn_ie_len
0x8025	0x3F408025	(size_t) (pos - wpa_ie) <= wpa_ie_len
0x804B	0x3F40804B	wpa_gen_wpa_ie_wpa
0x805E	0x3F40805E	wpa_gen_wpa_ie_rsn
0x8080	0x3F408080	PMK Name
0x8089	0x3F408089	pmksa_timeout_timer
0x809D	0x3F40809D	smartconfig
0x80D4	0x3F4080D4	SC_EVENT
0x81CF	0x3F4081CF	sc_ack_send_task
0x821F	0x3F40821F	ESPNOW
0x8226	0x3F408226	wifi_init
0x82D3	0x3F4082D3	WIFI_EVENT
