file_off	va	region	length	string
0x4452	0x3F404452	DROM	18	gpio_set_pull_mode
0x4465	0x3F404465	DROM	14	gpio_set_level
0x4474	0x3F404474	DROM	17	gpio_intr_disable
0x4486	0x3F404486	DROM	24	gpio_intr_enable_on_core
0x449F	0x3F40449F	DROM	16	gpio_intr_enable
0x44B0	0x3F4044B0	DROM	18	gpio_set_intr_type
0x44C3	0x3F4044C3	DROM	17	gpio_pulldown_dis
0x44D5	0x3F4044D5	DROM	19	gpio_ll_pulldown_en
0x44E9	0x3F4044E9	DROM	16	gpio_pulldown_en
0x44FA	0x3F4044FA	DROM	15	gpio_pullup_dis
0x450A	0x3F40450A	DROM	17	gpio_ll_pullup_en
0x451C	0x3F40451C	DROM	14	gpio_pullup_en
0x452B	0x3F40452B	DROM	20	HPTaskAwoken != NULL
0x4540	0x3F404540	DROM	28	/IDF/components/driver/i2c.c
0x4561	0x3F404561	DROM	79	E (%u) %s: i2c command link allocation error: the buffer provided is too small.
0x45B2	0x3F4045B2	DROM	40	E (%u) %s: i2c command link malloc error
0x45DC	0x3F4045DC	DROM	16	cmd_desc != NULL
0x45ED	0x3F4045ED	DROM	21	cmd_desc->cur != NULL
0x4603	0x3F404603	DROM	35	E (%u) %s: %s(%d): i2c number error
0x4628	0x3F404628	DROM	43	E (%u) %s: %s(%d): i2c driver install error
0x4655	0x3F404655	DROM	41	E (%u) %s: %s(%d): i2c timing value error
0x4680	0x3F404680	DROM	41	E (%u) %s: %s(%d): i2c null address error
0x46AB	0x3F4046AB	DROM	59	E (%u) %s: %s(%d): i2c buffer size too small for slave mode
0x46E8	0x3F4046E8	DROM	34	E (%u) %s: i2c driver malloc error
0x470C	0x3F40470C	DROM	31	E (%u) %s: i2c ringbuffer error
0x472D	0x3F40472D	DROM	30	E (%u) %s: i2c semaphore error
0x474D	0x3F40474D	DROM	35	E (%u) %s: i2c driver install error
0x4772	0x3F404772	DROM	40	E (%u) %s: %s(%d): sda gpio number error
0x479C	0x3F40479C	DROM	40	E (%u) %s: %s(%d): scl gpio number error
0x47C6	0x3F4047C6	DROM	65	E (%u) %s: %s(%d): this i2c pin does not support internal pull-up
0x4809	0x3F404809	DROM	56	E (%u) %s: %s(%d): scl and sda gpio numbers are the same
0x4843	0x3F404843	DROM	33	E (%u) %s: %s(%d): i2c mode error
0x4866	0x3F404866	DROM	79	E (%u) %s: %s(%d): i2c clock choice is invalid, please check flag and frequency
0x48B7	0x3F4048B7	DROM	41	E (%u) %s: %s(%d): i2c command link error
0x48E2	0x3F4048E2	DROM	43	E (%u) %s: %s(%d): i2c driver not installed
0x490F	0x3F40490F	DROM	46	E (%u) %s: %s(%d): Only allowed in master mode
0x493F	0x3F40493F	DROM	44	E (%u) %s: Using buffer allocated from psram
0x496D	0x3F40496D	DROM	20	i2c_master_cmd_begin
0x4982	0x3F404982	DROM	21	i2c_master_write_byte
0x4998	0x3F404998	DROM	16	i2c_master_write
0x49A9	0x3F4049A9	DROM	15	i2c_master_stop
0x49B9	0x3F4049B9	DROM	19	i2c_cmd_link_append
0x49CD	0x3F4049CD	DROM	16	i2c_master_start
0x49DE	0x3F4049DE	DROM	22	gpio_ll_iomux_func_sel
0x49F5	0x3F4049F5	DROM	11	i2c_set_pin
0x4A01	0x3F404A01	DROM	16	i2c_isr_register
0x4A12	0x3F404A12	DROM	15	i2c_set_timeout
0x4A22	0x3F404A22	DROM	16	i2c_param_config
0x4A33	0x3F404A33	DROM	17	i2c_reset_rx_fifo
0x4A45	0x3F404A45	DROM	17	i2c_reset_tx_fifo
0x4A57	0x3F404A57	DROM	17	i2c_driver_delete
0x4A69	0x3F404A69	DROM	27	i2c_master_cmd_begin_static
0x4A85	0x3F404A85	DROM	18	i2c_driver_install
0x4A98	0x3F404A98	DROM	26	periph < PERIPH_MODULE_MAX
0x4AB3	0x3F404AB3	DROM	36	/IDF/components/driver/periph_ctrl.c
0x4AD8	0x3F404AD8	DROM	19	periph_module_reset
0x4AEC	0x3F404AEC	DROM	21	periph_module_disable
0x4B02	0x3F404B02	DROM	20	periph_module_enable
0x4B17	0x3F404B17	DROM	5	RTCIO
0x4B1D	0x3F404B1D	DROM	37	E (%u) %s: %s(%d): RTCIO number error
0x4B44	0x3F404B44	DROM	183	"(Cannot use SET_PERI_REG_MASK for DPORT registers use DPORT_SET_PERI_REG_MASK)" && (!((((rtc_io_desc[rtcio_num].reg)) >= 0x3ff00000) && ((rtc_io_desc[rtcio_num].reg)) <= 0x3ff13FFC))
0x4BFC	0x3F404BFC	DROM	49	/IDF/components/hal/esp32/include/hal/rtc_io_ll.h
0x4C2E	0x3F404C2E	DROM	187	"(Cannot use CLEAR_PERI_REG_MASK for DPORT registers use DPORT_CLEAR_PERI_REG_MASK)" && (!((((rtc_io_desc[rtcio_num].reg)) >= 0x3ff00000) && ((rtc_io_desc[rtcio_num].reg)) <= 0x3ff13FFC))
0x4CEA	0x3F404CEA	DROM	25	rtcio_ll_pulldown_disable
0x4D04	0x3F404D04	DROM	21	rtc_gpio_pulldown_dis
0x4D1A	0x3F404D1A	DROM	24	rtcio_ll_pulldown_enable
0x4D33	0x3F404D33	DROM	20	rtc_gpio_pulldown_en
0x4D48	0x3F404D48	DROM	23	rtcio_ll_pullup_disable
0x4D60	0x3F404D60	DROM	19	rtc_gpio_pullup_dis
0x4D74	0x3F404D74	DROM	22	rtcio_ll_pullup_enable
0x4D8B	0x3F404D8B	DROM	18	rtc_gpio_pullup_en
0x4D9E	0x3F404D9E	DROM	15	rtc_gpio_deinit
0x4DAE	0x3F404DAE	DROM	24	rtcio_ll_function_select
0x4DC7	0x3F404DC7	DROM	33	E (%u) %s: %s(%d): uart_num error
